source_href,name_hotel,region,description,price_label,rating,rating_type,review_count,location,formatted_address,formatted_region
https://www.booking.com/hotel/id/jimbaran-bay-beach-resort-and-spa.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=758&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Jimbaran Bay Beach Resort and Spa by Prabhu,"Jimbaran Bay, Jimbaran",Jimbaran Bay Beach Resort and Spa offers accommodations featuring an outdoor pool with a swim-up bar. Guests can also enjoy cocktails at the rooftop bar overlooking the sea.,Moderate,7.5,Good,491,"{'lat': -8.7664683, 'lng': 115.1700616}","Jl. Pantai Kedonganan No.888, Kedonganan, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
https://www.booking.com/hotel/id/ketut-s-place.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=759&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Ketut's Place Bed & Breakfast Ubud,Ubud,"Nestled within lush Balinese gardens, Ketut’s Place features an outdoor pool and cozy rooms with a private terrace or balcony. It also offers 24-hour room service and free Wi-Fi in all areas.",Moderate,8.6,Exceptional,331,"{'lat': -8.500492399999999, 'lng': 115.2647781}","Jl. Suweta No.40, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
https://www.booking.com/hotel/id/swiss-belhotel-rainforrest.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=760&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&map_fdco=1&from=searchresults#hotelTmpl,Swiss-Belhotel Rainforest,"Sunset Road, Kuta","Featuring an outdoor pool, on-site restaurant and a gym, the Swiss-Belhotel Rainforest has 4-star accommodations with free Wi-Fi and free parking.",Moderate,7.3,Good,80,"{'lat': -8.708196, 'lng': 115.1847183}","Jl. Sunset Road No.101, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
https://www.booking.com/hotel/id/barong-villas-karangasem.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=761&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&map_fdco=1&from=searchresults#hotelTmpl,Barong Villas,Sidemen,"Featuring an outdoor swimming pool, a garden, and a shared lounge, Barong Villas has accommodations in Sidemen with free WiFi and mountain views.",Expensive,8.8,Exceptional,113,"{'lat': -8.4828622, 'lng': 115.4437371}","banjar dinas kode pos, Jalan Sidemen, Telaga Tawang, Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia","Sidemen, Karangasem"
https://www.booking.com/hotel/id/villa-waru-one.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=762&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&map_fdco=1&from=searchresults#hotelTmpl,Villa Waru One,"Mushroom Bay, Nusa Lembongan","Located in Nusa Lembongan, just a few steps from Sandy Bay Beach, Villa Waru One provides beachfront accommodations with an outdoor swimming pool, a garden, a shared lounge and free WiFi.",Expensive,8.6,Exceptional,29,"{'lat': -8.688317, 'lng': 115.4300465}","8C6J+M2F, Unnamed Road, Jungutbatu, Nusa Penida, Klungkung Regency, Bali 80771, Indonesia","Nusa Penida, Klungkung"
https://www.booking.com/hotel/id/pondok-pitaya.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=763&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&map_fdco=1&from=searchresults#hotelTmpl,Pondok Pitaya Balian Hotel,"Balian Beach, Selemadeg","Steps away from the popular surf spots of Balian Beach, Pondok Pitaya Balian Hotel offers a tropical retreat surrounded by lush greenery.",Moderate,7.7,Good,143,"{'lat': -8.5029337, 'lng': 114.9657719}","Br Pengasahan, Lalanglinggah, Jl. Pantai Balian, Lalanglinggah, Kec. Selemadeg Bar., Kabupaten Tabanan, Bali 82162, Indonesia","Selemadeg Barat, Tabanan"
https://www.booking.com/hotel/id/puri-wirata-dive-resort-and-spa-amed.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=764&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&map_fdco=1&from=searchresults#hotelTmpl,Puri Wirata Dive Resort and Spa Amed,Amed,"Boasting 2 beachfront swimming pools, Puri Wirata Dove Resort and Spa Amed has an on-site PADI-certified dove center with multi-lingual instructors.",Cheap,8.9,Exceptional,172,"{'lat': -8.346176999999999, 'lng': 115.677602}","MM3H+H57, Jl. Raya Bunutan Amed Ababi Abang Karangasem Bali, Jl. Raya Lipah, Bunutan, Kec. Abang, Kabupaten Karangasem, Bali 80852, Indonesia","Abang, Karangasem"
https://www.booking.com/hotel/id/adiwana-suweta.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=765&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,Adiwana Suweta,"Taman, Ubud","Located in Ubud, 1.2 miles from Ubud Palace, Adiwana Suweta provides accommodations with an outdoor swimming pool, free private parking, a garden and a terrace. This 4-star resort offers a bar.",Cheap,9.4,Wonderful,392,"{'lat': -8.4890533, 'lng': 115.2651052}","Jl. Suweta, Bentuyung Sakti, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
https://www.booking.com/hotel/id/rimbun-boutique-resort.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=766&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&map_fdco=1&from=searchresults#hotelTmpl,Rimbun Canggu Hotel,"Batu Bolong, Canggu","Located in Canggu, Rimbun Canggu Hotel offers 3-star accommodations with a garden and a terrace.",Moderate,7.9,Good,462,"{'lat': -8.6416416, 'lng': 115.1416348}","Jl. Pantai Batu Bolong No.55, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
https://www.booking.com/hotel/id/w-retreat.html?sid=b9709cd8ce176378f5bf317f22dd8ee4&aid=2230186&ucfs=1&arphpl=1&dest_id=835&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=767&sr_order=popularity&srpvid=f0c23a7c639c0165&srepoch=1685175669&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl,W Bali - Seminyak,"Petitenget, Seminyak","Located on Seminyak Beach, W Bali - Seminyak features a large outdoor pool and full service spa. 5-star luxury awaits with free valet parking and a 24-hour concierge desk.",Moderate,9,Wonderful,429,"{'lat': -8.6772946, 'lng': 115.1491632}","Kerobokan, Jl. Petitenget, Seminyak, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
